id,title,type,genres,averageRating,numVotes,releaseYear,
tt0111161,The Shawshank Redemption,movie,Drama,9.3,2964219,1994,
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2067103,1972,
tt0252487,The Chaos Class,movie,Comedy,9.2,43705,1975,
tt0259534,Ramayana: The Legend of Prince Rama,movie,"Action, Adventure, Animation",9.2,15574,1993,
tt16747572,The Silence of Swastika,movie,"Documentary, History",9.1,10572,2021,
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9,2945633,2008,
tt0167260,The Lord of the Rings: The Return of the King,movie,"Action, Adventure, Drama",9,2029317,2003,
tt0108052,Schindler's List,movie,"Biography, Drama, History",9,1486729,1993,
tt0071562,The Godfather Part II,movie,"Crime, Drama",9,1396096,1974,
tt0050083,12 Angry Men,movie,"Crime, Drama",9,893787,1957,
tt0110912,Pulp Fiction,movie,"Crime, Drama",8.9,2276143,1994,
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Action, Adventure, Drama",8.9,2059043,2001,
tt27719898,Kaiva,movie,"Action, Drama, Romance",8.9,68928,2023,
tt5354160,Mirror Game,movie,"Crime, Mystery, Thriller",8.9,30109,2016,
tt0253828,Tosun Pasha,movie,"Comedy, History",8.9,25098,1976,
tt0252488,The Chaos Class Failed the Class,movie,Comedy,8.9,25074,1975,
tt5275892,O.J.: Made in America,movie,"Biography, Crime, Documentary",8.9,22681,2016,
tt0075143,The Message,movie,"Action, Adventure, Biography",8.9,11007,1976,
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2613951,2010,
tt0137523,Fight Club,movie,Drama,8.8,2395760,1999,
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2319813,1994,
tt0167261,The Lord of the Rings: The Two Towers,movie,"Action, Adventure, Drama",8.8,1829534,2002,
tt0060196,"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",8.8,831077,1966,
tt23849204,12th Fail,movie,"Biography, Drama",8.8,134501,2023,
tt16492678,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,movie,"Action, Animation, Fantasy",8.8,25959,2021,
tt0253779,The Foster Brothers,movie,"Comedy, History",8.8,21415,1976,
tt0084302,The Marathon Family,movie,"Comedy, Drama",8.8,17273,1982,
tt10534500,#Home,movie,"Drama, Family",8.8,16067,2021,
tt0086935,Balkan Spy,movie,"Comedy, Drama",8.8,12679,1984,
tt2077886,The Phantom of the Opera at the Royal Albert Hall,movie,"Drama, Musical, Romance",8.8,10192,2011,
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2198506,2014,
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2104414,1999,
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,"Action, Adventure, Fantasy",8.7,1410522,1980,
tt0099685,Goodfellas,movie,"Biography, Crime, Drama",8.7,1290879,1990,
tt0073486,One Flew Over the Cuckoo's Nest,movie,Drama,8.7,1093995,1975,
tt15097216,Jai Bhim,movie,"Crime, Drama, Mystery",8.7,221574,2021,
tt10189514,Soorarai Pottru,movie,Drama,8.7,126120,2020,
tt9263550,Rocketry: The Nambi Effect,movie,"Biography, Drama",8.7,59868,2022,
tt7466810,777 Charlie,movie,"Adventure, Comedy, Drama",8.7,41893,2022,
tt0093603,Nayakan,movie,"Crime, Drama",8.7,25554,1987,
tt0088178,Stop Making Sense,movie,"Documentary, Music",8.7,21755,1984,
tt0252490,The Chaos Class Is Waking Up,movie,Comedy,8.7,21228,1976,
tt8176054,Pariyerum Perumal,movie,Drama,8.7,19086,2018,
tt0253614,"Saban, Son of Saban",movie,Comedy,8.7,19046,1977,
tt0252597,"Feyzo, the Polite One",movie,"Comedy, Drama",8.7,17675,1978,
tt6019206,Kill Bill: The Whole Bloody Affair,movie,"Action, Crime, Thriller",8.7,17577,2006,
tt0076276,Who's Singin' Over There?,movie,"Adventure, Comedy, Drama",8.7,16935,1980,
tt7738784,Peranbu,movie,"Drama, Family",8.7,16900,2018,
tt14888874,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,movie,"Action, Animation, Fantasy",8.7,16876,2020,
tt0201368,The Broken Landlord,movie,"Comedy, Drama",8.7,16712,1985,
tt17592606,Daman,movie,"Adventure, Drama",8.7,13876,2022,
tt0214915,Manichithrathazhu,movie,"Comedy, Horror, Mystery",8.7,12984,1993,
tt8737152,Toma,movie,"Biography, Drama, Music",8.7,12711,2021,
tt0765833,Happy Days,movie,"Comedy, Drama, Family",8.7,12181,1978,
tt0090015,Shoah,movie,"Documentary, History, War",8.7,10810,1985,
tt0114369,Se7en,movie,"Crime, Drama, Mystery",8.6,1852612,1995,
tt0102926,The Silence of the Lambs,movie,"Crime, Drama, Thriller",8.6,1591816,1991,
tt0120815,Saving Private Ryan,movie,"Drama, War",8.6,1532909,1998,
tt0076759,Star Wars: Episode IV - A New Hope,movie,"Action, Adventure, Fantasy",8.6,1479254,1977,
tt0120689,The Green Mile,movie,"Crime, Drama, Fantasy",8.6,1446012,1999,
tt0103064,Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",8.6,1203701,1991,
tt0245429,Spirited Away,movie,"Adventure, Animation, Family",8.6,879837,2001,
tt0317248,City of God,movie,"Crime, Drama",8.6,819133,2002,
tt0118799,Life Is Beautiful,movie,"Comedy, Drama, Romance",8.6,759858,1997,
tt10811166,The Kashmir Files,movie,Drama,8.6,575388,2022,
tt0038650,It's a Wonderful Life,movie,"Drama, Family, Fantasy",8.6,509823,1946,
tt9362722,Spider-Man: Across the Spider-Verse,movie,"Action, Adventure, Animation",8.6,416047,2023,
tt0047478,Seven Samurai,movie,"Action, Drama",8.6,375475,1954,
tt0056058,Harakiri,movie,"Action, Drama, Mystery",8.6,74041,1962,
tt0367495,Anbe Sivam,movie,"Adventure, Comedy, Drama",8.6,26164,2003,
tt0358456,Earthlings,movie,Documentary,8.6,19987,2005,
tt0252489,The Chaos Class Is on Vacation,movie,Comedy,8.6,19169,1977,
tt0116860,"Pretty Village, Pretty Flame",movie,"Drama, History, War",8.6,18084,1996,
tt0271383,A Dog's Will,movie,"Comedy, Drama, Fantasy",8.6,17615,2000,
tt4139928,The Legend of Maula Jatt,movie,"Action, Drama, Fantasy",8.6,10882,2022,
tt0267351,My Dear Brother,movie,Drama,8.6,10508,1973,
tt1853728,Django Unchained,movie,"Comedy, Drama, Western",8.5,1741509,2012,
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1677081,2000,
tt0482571,The Prestige,movie,"Drama, Mystery, Sci-Fi",8.5,1477246,2006,
tt0407887,The Departed,movie,"Crime, Drama, Thriller",8.5,1453949,2006,
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1343166,1985,
tt0110413,Léon: The Professional,movie,"Action, Crime, Drama",8.5,1275144,1994,
tt0120586,American History X,movie,"Crime, Drama",8.5,1209505,1998,
tt0110357,The Lion King,movie,"Adventure, Animation, Drama",8.5,1172362,1994,
tt0114814,The Usual Suspects,movie,"Crime, Drama, Mystery",8.5,1166992,1995,
tt2582802,Whiplash,movie,"Drama, Music",8.5,1030339,2014,
tt6751668,Parasite,movie,"Drama, Thriller",8.5,1007969,2019,
tt0078748,Alien,movie,"Horror, Sci-Fi",8.5,990514,1979,
tt1675434,The Intouchables,movie,"Comedy, Drama",8.5,953202,2011,
tt0253474,The Pianist,movie,"Biography, Drama, Music",8.5,939782,2002,
tt0054215,Psycho,movie,"Horror, Mystery, Thriller",8.5,736653,1960,
tt0034583,Casablanca,movie,"Drama, Romance, War",8.5,618639,1942,
tt15239678,Dune: Part Two,movie,"Action, Adventure, Drama",8.5,543832,2024,
tt0047396,Rear Window,movie,"Mystery, Thriller",8.5,534756,1954,
tt0064116,Once Upon a Time in the West,movie,"Drama, Western",8.5,357013,1968,
tt0095327,Grave of the Fireflies,movie,"Animation, Drama, War",8.5,328824,1988,
tt0095765,Cinema Paradiso,movie,"Drama, Romance",8.5,291424,1988,
tt0027977,Modern Times,movie,"Comedy, Drama, Romance",8.5,266031,1936,
tt0021749,City Lights,movie,"Comedy, Drama, Romance",8.5,201314,1931,
tt1424432,Senna,movie,"Biography, Documentary, Sport",8.5,78209,2010,
tt20850406,Sita Ramam,movie,"Action, Drama, Mystery",8.5,72226,2022,
tt26548265,Maharaja,movie,"Action, Crime, Drama",8.5,52971,2024,
tt1152758,Dear Zachary: A Letter to a Son About His Father,movie,"Biography, Crime, Documentary",8.5,41879,2008,
tt0103767,Baraka,movie,Documentary,8.5,41533,1992,
tt7019842,96,movie,"Drama, Romance",8.5,39398,2018,
tt11580854,Sarpatta Parambarai,movie,"Action, Drama, Sport",8.5,26220,2021,
tt0346336,The Best of Youth,movie,"Drama, Romance",8.5,23646,2003,
tt8948790,Jersey,movie,"Drama, Sport",8.5,23623,2019,
tt24082438,20 Days in Mariupol,movie,"Documentary, War",8.5,23593,2023,
tt0058625,Woman in the Dunes,movie,"Drama, Thriller",8.5,23490,1964,
tt1014762,Home,movie,"Documentary, Family",8.5,23161,2009,
tt0253997,The King of the Street Cleaners,movie,"Comedy, Romance",8.5,21824,1977,
tt0054407,The Hole,movie,"Crime, Drama, Thriller",8.5,21124,1960,
tt0079221,Gol Maal,movie,"Comedy, Romance",8.5,20423,1979,
tt8413338,Kumbalangi Nights,movie,"Comedy, Drama, Romance",8.5,18995,2019,
tt0263975,The Girl with the Red Scarf,movie,"Drama, Romance",8.5,17248,1977,
tt0101649,Thalapathi,movie,"Action, Crime, Drama",8.5,13758,1991,
tt9617456,For Sama,movie,"Biography, Documentary, War",8.5,13101,2019,
tt0253991,Zübük,movie,Comedy,8.5,11447,1980,
tt1345836,The Dark Knight Rises,movie,"Action, Drama, Thriller",8.4,1871607,2012,
tt0361748,Inglourious Basterds,movie,"Adventure, Drama, War",8.4,1630134,2009,
tt7286456,Joker,movie,"Crime, Drama, Thriller",8.4,1560341,2019,
tt0209144,Memento,movie,"Mystery, Thriller",8.4,1350171,2000,
tt4154796,Avengers: Endgame,movie,"Action, Adventure, Drama",8.4,1310808,2019,
tt4154756,Avengers: Infinity War,movie,"Action, Adventure, Sci-Fi",8.4,1244983,2018,
tt0910970,WALL·E,movie,"Adventure, Animation, Family",8.4,1231036,2008,
tt0081505,The Shining,movie,"Drama, Horror",8.4,1138934,1980,
tt0082971,Raiders of the Lost Ark,movie,"Action, Adventure",8.4,1054823,1981,
tt0090605,Aliens,movie,"Action, Adventure, Sci-Fi",8.4,791519,1986,
tt0078788,Apocalypse Now,movie,"Drama, Mystery, War",8.4,725843,1979,
tt4633694,Spider-Man: Into the Spider-Verse,movie,"Action, Adventure, Animation",8.4,701146,2018,
tt2380307,Coco,movie,"Adventure, Animation, Drama",8.4,621665,2017,
tt1187043,3 Idiots,movie,"Comedy, Drama",8.4,446663,2009,
tt0086879,Amadeus,movie,"Biography, Drama, Music",8.4,438419,1984,
tt0405094,The Lives of Others,movie,"Drama, Mystery, Thriller",8.4,418896,2006,
tt5311514,Your Name.,movie,"Animation, Drama, Fantasy",8.4,338530,2016,
tt0082096,Das Boot,movie,"Drama, War",8.4,270029,1981,
tt0032553,The Great Dictator,movie,"Comedy, Drama, War",8.4,243086,1940,
tt0043014,Sunset Boulevard,movie,"Drama, Film-Noir",8.4,242805,1950,
tt0050825,Paths of Glory,movie,"Drama, War",8.4,219829,1957,
tt0051201,Witness for the Prosecution,movie,"Crime, Drama, Mystery",8.4,143250,1957,
tt8267604,Capernaum,movie,Drama,8.4,110861,2018,
tt0057565,High and Low,movie,"Crime, Drama, Mystery",8.4,56420,1963,
tt1313104,The Cove,movie,"Biography, Crime, Documentary",8.4,51887,2009,
tt21626284,Lost Ladies,movie,"Comedy, Drama",8.4,44840,2023,
tt9900782,Kaithi,movie,"Action, Crime, Drama",8.4,44720,2019,
tt12361178,Drishyam 2,movie,"Crime, Drama, Thriller",8.4,41988,2021,
tt0770802,Samsara,movie,"Documentary, Music",8.4,38581,2011,
tt9477520,Asuran,movie,"Action, Drama",8.4,34687,2019,
tt3674140,The Salt of the Earth,movie,"Biography, Documentary, History",8.4,24004,2014,
tt0416960,The Lizard,movie,"Comedy, Drama",8.4,23020,2004,
tt0400234,Black Friday,movie,"Action, Crime, Drama",8.4,22360,2004,
tt4987556,Thani Oruvan,movie,"Action, Crime, Thriller",8.4,22157,2015,
tt5959980,Vada Chennai,movie,"Action, Crime, Drama",8.4,20592,2018,
tt0047445,Sansho the Bailiff,movie,Drama,8.4,18672,1954,
tt0052572,The World of Apu,movie,Drama,8.4,17224,1959,
tt7465992,Mahanati,movie,"Biography, Drama",8.4,15276,2018,
tt0059550,Operation 'Y' & Other Shurik's Adventures,movie,"Comedy, Crime, Drama",8.4,15227,1965,
tt0073000,The Pinchcliffe Grand Prix,movie,"Animation, Comedy, Family",8.4,14519,1975,
tt0314067,Philanthropy,movie,"Comedy, Drama",8.4,14030,2002,
tt0252591,King of the Doormen,movie,Comedy,8.4,13954,1976,
tt4991384,Visaaranai,movie,"Crime, Drama, Thriller",8.4,12525,2015,
tt12415546,Attack on Titan: Chronicle,movie,"Action, Adventure, Animation",8.4,12108,2020,
tt0184756,Mr. Muhsin,movie,"Comedy, Drama, Music",8.4,12060,1987,
tt0383846,"When I Grow Up, I'll Be a Kangaroo",movie,Comedy,8.4,11745,2004,
tt0169547,American Beauty,movie,Drama,8.3,1230019,1999,
tt1049413,Up,movie,"Adventure, Animation, Comedy",8.3,1153743,2009,
tt0086190,Star Wars: Episode VI - Return of the Jedi,movie,"Action, Adventure, Fantasy",8.3,1143395,1983,
tt0105236,Reservoir Dogs,movie,"Crime, Thriller",8.3,1111418,1992,
tt0112573,Braveheart,movie,"Biography, Drama, War",8.3,1110091,1995,
tt0338013,Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",8.3,1105763,2004,
tt0119217,Good Will Hunting,movie,"Drama, Romance",8.3,1102525,1997,
tt0114709,Toy Story,movie,"Adventure, Animation, Comedy",8.3,1095402,1995,
tt0086250,Scarface,movie,"Crime, Drama",8.3,940418,1983,
tt0180093,Requiem for a Dream,movie,Drama,8.3,919413,2000,
tt0435761,Toy Story 3,movie,"Adventure, Animation, Comedy",8.3,911664,2010,
tt15398776,Oppenheimer,movie,"Biography, Drama, History",8.3,815251,2023,
tt0211915,Amélie,movie,"Comedy, Romance",8.3,806773,2001,
tt0113277,Heat,movie,"Action, Crime, Drama",8.3,736690,1995,
tt0062622,2001: A Space Odyssey,movie,"Adventure, Sci-Fi",8.3,736293,1968,
tt0364569,Oldboy,movie,"Action, Drama, Mystery",8.3,656460,2003,
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,"Comedy, War",8.3,529125,1964,
tt0033467,Citizen Kane,movie,"Drama, Mystery",8.3,473839,1941,
tt0119698,Princess Mononoke,movie,"Action, Adventure, Animation",8.3,446544,1997,
tt0052357,Vertigo,movie,"Mystery, Romance, Thriller",8.3,436732,1958,
tt0087843,Once Upon a Time in America,movie,"Crime, Drama",8.3,385969,1984,
tt2106476,The Hunt,movie,Drama,8.3,375592,2012,
tt0053125,North by Northwest,movie,"Action, Adventure, Mystery",8.3,353084,1959,
tt0056592,To Kill a Mockingbird,movie,"Crime, Drama",8.3,338388,1962,
tt0056172,Lawrence of Arabia,movie,"Adventure, Biography, Drama",8.3,322067,1962,
tt0070735,The Sting,movie,"Comedy, Crime, Drama",8.3,284952,1973,
tt0045152,Singin' in the Rain,movie,"Comedy, Musical, Romance",8.3,266724,1952,
tt1832382,A Separation,movie,Drama,8.3,264006,2011,
tt5074352,Dangal,movie,"Action, Biography, Drama",8.3,218089,2016,
tt1255953,Incendies,movie,"Drama, Mystery, War",8.3,213639,2010,
tt0986264,Like Stars on Earth,movie,"Drama, Family",8.3,212154,2007,
tt0053604,The Apartment,movie,"Comedy, Drama, Romance",8.3,202027,1960,
tt0017136,Metropolis,movie,"Drama, Sci-Fi",8.3,190105,1927,
tt0040522,Bicycle Thieves,movie,Drama,8.3,179506,1948,
tt0022100,M,movie,"Crime, Mystery, Thriller",8.3,172919,1931,
tt0036775,Double Indemnity,movie,"Crime, Drama, Film-Noir",8.3,171121,1944,
tt8110330,Dil Bechara,movie,"Comedy, Drama, Romance",8.3,135609,2020,
tt10295212,Shershaah,movie,"Action, Biography, Drama",8.3,131205,2021,
tt8503618,Hamilton,movie,"Biography, Drama, History",8.3,120367,2020,
tt0091251,Come and See,movie,"Drama, Thriller, War",8.3,103919,1985,
tt0044741,Ikiru,movie,Drama,8.3,91437,1952,
tt0055031,Judgment at Nuremberg,movie,"Drama, War",8.3,87859,1961,
tt9179430,Vikram,movie,"Action, Crime, Drama",8.3,77955,2022,
tt29623480,The Wild Robot,movie,"Animation, Sci-Fi",8.3,76030,2024,
tt9052870,Chhichhore,movie,"Comedy, Drama, Romance",8.3,66043,2019,
